DraftYr,Contract Worth,Rk,Pos,Player,College,G,MPG,PPG,FGM,FGA,RPG,APG,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,SPG,BPG,TOV,PF
2022,,1,PF,Jabari Smith,Auburn,34,28.8,16.9,,,7.4,2,0.429,,,0.420,,,0.799,,,,,,
2022,,2,C,Chet Holmgren,Gonzaga,32,26.9,14.1,,,9.9,1.9,0.607,,,0.390,,,0.717,,,,,,
2022,,3,PF,Paolo Banchero,Duke,39,33.0,17.2,,,7.8,3.2,0.478,,,0.338,,,0.729,,,,,,
2022,,4,SG,Jaden Ivey,Purdue,59,28.6,14.9,,,4.3,2.6,0.440,,,0.322,,,0.739,,,,,,
2022,,5,SF,Keegan Murray,Iowa,66,25.4,15.8,,,7.0,1.0,0.543,,,0.373,,,0.749,,,,,,
2022,,6,SG,Shaedon Sharpe,Kentucky,12,NA,21.4,,,6.0,2.7,0.608,,,0.188,,,0.750,,,,,,
2022,,7,SG,Johnny Davis,Wisconsin,62,29.2,13.4,,,6.2,1.6,0.431,,,0.325,,,0.799,,,,,,
2022,,8,SF,A.J. Griffin,Duke,39,24.0,10.4,,,3.9,1.0,0.493,,,0.447,,,0.792,,,,,,
2022,,9,C,Jalen Duren,Memphis,29,25.3,12,,,8.1,1.3,0.597,,,0.00,,,0.625,,,,,,
2022,,10,SG,Bennedict Mathurin,Arizona,63,29.4,14.8,,,5.3,2.0,0.456,,,0.383,,,0.789,,,,,,
2022,,11,SG,Dyson Daniels,G-League Ignite,14,31.2,11.3,,,6.21,4.36,0.449,,,0.255,,,0.737,,,,,,
2022,,12,PF,Tari Eason,LSU,56,22.4,13.0,,,6.3,1.1,0.504,,,0.327,,,0.757,,,,,,
2022,,13,PG,TyTy Washington,Kentucky,31,29.2,12.5,,,3.5,3.9,0.451,,,0.350,,,0.750,,,,,,
2022,,14,SG,Ochai Agbaji,Kansas,122,32.6,13.5,,,4.4,1.6,0.448,,,0.373,,,0.714,,,,,,
2022,,15,SF,Jeremy Sochan,Baylor,30,25.1,9.2,,,6.4,1.8,0.474,,,0.296,,,0.589,,,,,,
2022,,16,C,Mark Williams,Duke,62,20.5,9.7,,,6.3,0.8,0.704,,,0.00,,,0.661,,,,,,
2022,,17,PG,Kennedy Chandler,Tennessee,34,30.8,13.9,,,3.2,4.7,0.464,,,0.383,,,0.606,,,,,,
2022,,18,SG,Malaki Branham,Ohio State,32,29.6,13.7,,,3.6,2,0.498,,,0.416,,,0.833,,,,,,
2022,,19,SF,Ousmane Dieng,New Zealand Breakers,23,20.8,8.87,,,3.1,1.0,0.398,,,0.271,,,0.667,,,,,,
2022,,20,SF,Kendall Brown,Baylor,34,27.0,9.7,,,4.9,1.9,0.584,,,0.341,,,0.689,,,,,,
2022,,21,SG,Jaden Hardy,G-League Ignite,12,32.2,17.7,,,4.6,3.2,0.351,,,0.269,,,0.882,,,,,,
2022,,22,SG,Blake Wesley,Notre Dame,35,29.3,14.4,,,3.7,2.4,0.404,,,0.303,,,0.657,,,,,,
2022,,23,SG,Nikola Jovic,Mega Basket,4,24.8,11.8,,,5.5,1.0,0.552,,,0.400,,,0.750,,,,,,
2022,,24,PF,E.J. Liddell,Ohio State,92,26.4,14.1,,,6.1,1.6,0.480,,,0.341,,,0.749,,,,,,
2022,,25,SF,Marjon Beauchamp,G-League Ignite,12,36.6,15.1,,,7.33,2.5,0.571,,,0.242,,,0.650,,,,,,
2022,,26,SG,Wendell Moore Jr,Duke,88,29.4,10.7,,,4.9,3.2,0.459,,,0.358,,,0.814,,,,,,
2022,,27,PF,Walker Kessler,Auburn,63,17.9,8.2,,,5.8,0.6,0.601,,,0.204,,,0.577,,,,,,
2022,,28,PG,Jean Montero,Overtime Elite,9,5.1,2.0,,,0.8,0.4,0.267,,,0,,,0.909,,,,,,
2022,,29,SF,Patrick Baldwin Jr,Wisconsin-Milwaukee,11,28.5,12.1,,,5.8,1.5,0.344,,,0.266,,,0.743,,,,,,
2022,,30,SF,Christian Braun,Kansas Jayhawks,101,28.5,10.1,,,5.0,1.8,0.449,,,0.378,,,0.749,,,,,,