Rk,MPG,PPG,RPG,APG
5,34.1,17.1,5,2.7
6,30.7,8.6,4.2,1.8
7,22.2,7.2,5.8,0.8
8,14,2,3.7,0.4
9,15.4,7.1,2.2,1.1
10,34.6,16,4,3.9
11,13.5,3.6,2.4,0.7
12,21.9,8,3.8,1.4
13,29,12.6,4,2
14,27.3,10.8,7.8,1.5
15,15,4.5,3.2,0.2
16,5,1.2,1,0.3
17,11.7,2.8,3.4,0.5
18,20.4,3.6,3.7,0.9
19,31,16.6,9.1,1.8
20,22.9,6.8,6,0.5
21,5,1.2,0.7,0.7
22,12.9,2.5,2.3,0.8
23,6.5,2.2,0.6,0.2
24,18.9,6.5,1.7,3.8
25,29.7,11.9,5.8,2.1
26,24.4,7.7,7.8,0.5
27,26.4,8.5,2.9,6.1
28,30.5,15.5,2.7,5.6
30,25.3,5.8,2.8,1.8
31,35.1,20.7,3.9,5.3
32,9.7,1.7,0.6,2.1
33,13.8,5.1,1.1,2
34,13.9,3.4,2.7,0.7
35,13,3.1,2,0.8
36,8.7,2.8,1.4,0.7
37,9,2.8,1.3,0.5
38,29.1,13.5,7,1.7
39,NA,NA,NA,NA
40,22.2,6.4,2.3,4.4
41,8.7,1.6,0.9,1
42,24.7,9,3.8,1.5
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,12.2,4.5,2.1,0.7
46,11.3,2.6,3.2,0.3
47,NA,NA,NA,NA
48,11.4,3.9,2.2,0.4
49,9.8,2,2,0
50,6.3,1,1.3,0.1
51,7.2,2.5,1.7,0.2
52,NA,NA,NA,NA
53,15.8,3.9,2.9,0.8
54,14.2,4.3,1.3,2.3
55,NA,NA,NA,NA
56,NA,NA,NA,NA
57,5.5,1.1,1.6,0.1
58,NA,NA,NA,NA
1,32.5,19,9.2,1.6
2,26.1,9.5,2.6,4.7
3,27.7,11.2,4.3,2.2
4,25.5,11,7.1,1.1
5,11.3,2.9,1.8,0.7
6,21.4,9.4,1.4,1.9
7,26.2,11.3,6,1.8
8,19.9,8.2,4.9,0.7
9,31,18.9,7.8,1.2
10,32.2,14.1,5,2.3
11,21.6,4.8,4.1,1.3
12,16,5.3,3.2,0.7
13,9.6,3.5,1.5,0.2
14,24,7.5,2.2,2.3
15,17.8,7.1,2.6,0.9
16,18.6,6.1,2.4,1.5
17,19.5,8.4,1.9,1.8
18,13.5,3.1,3.3,0.8
19,9.1,2.3,2.2,0.2
20,17.2,6.4,1.7,1
21,12.3,4.1,2.3,0.6
22,18.5,5.2,1.8,1.1
23,31,11.1,4.3,2.4
24,25.2,10,5.4,0.8
25,11.1,2.9,0.9,1.9
26,26.4,9.3,2.9,2.4
27,12,3.9,1.2,0.4
28,15.4,5.8,1.4,2.5
30,NA,NA,NA,NA
31,17.7,6.3,1.7,1.3
32,7.5,1.2,1.6,0.4
33,23.4,6.9,2.7,2.2
34,14.8,4.7,4.4,0.4
35,31.2,16.2,9.5,2.2
36,NA,NA,NA,NA
37,12.3,4.9,2.8,0.6
38,3.9,1.2,0.8,0.6
39,NA,NA,NA,NA
40,25.8,10.9,2.6,2.2
41,7.8,2.7,2.6,0.2
42,22.7,9.9,2.1,2.3
43,NA,NA,NA,NA
44,11.6,3.9,2.9,0.2
45,NA,NA,NA,NA
46,23.6,8.2,4.6,1.8
47,8.8,2,3.4,0.4
48,6,4,1,0
49,NA,NA,NA,NA
50,18.6,6.9,3.4,1.2
51,NA,NA,NA,NA
52,NA,NA,NA,NA
53,21.3,7.5,2.4,0.8
54,7.8,2.6,1.1,0.5
55,NA,NA,NA,NA
56,25.6,12,6.7,1.6
57,2.8,0.5,0.3,0
58,11,2.7,2.5,0.3
1,38.2,27.1,7.5,7.4
2,18.5,6,4.2,0.9
3,34.7,22.6,6.2,2.7
4,35.8,19.2,8.5,2
5,33.9,22,4.7,5.4
6,26.7,11.2,7.6,1.3
7,30.7,10.9,2.9,4.8
8,27.7,11.2,3.1,5.8
9,15.5,6.5,4.5,0.6
10,23.2,8.3,3.1,1.1
11,21.5,8.3,3.1,0.8
12,20.4,5.9,5.2,1
13,16,5.9,1.5,2.1
14,26.1,9.3,2.3,4.5
15,8.5,1.7,0.7,0.7
16,5.7,1.8,0.7,0.7
17,10.3,4.3,2.1,0.6
18,28.2,13.6,6.4,2.2
19,15.7,4.9,1.8,0.9
20,15.7,5.4,1.7,0.8
21,27,8.6,4.4,3.5
22,10.7,3.8,1.3,1.1
23,20.9,8.5,3.2,0.8
24,13.4,5.5,2.6,0.6
25,22.8,8.1,3.6,1.7
26,4.5,2.1,1,0.2
27,21.9,5.4,5.8,1
28,21.6,10.6,2,2.1
29,30.3,14.3,5.7,1.6
30,9.9,3.4,2.2,0.3
31,17.8,6.7,1.7,0.8
32,17.2,4.7,2.8,2.3
33,2.5,1,0.5,0
34,NA,NA,NA,NA
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,12.4,3,1.7,0.5
38,23.9,6.5,2.1,4
39,3,0,0,0
40,16,2,2,3.5
41,20.2,8.3,1.8,1.4
42,20.3,6.8,5.8,1.3
43,21.6,6.3,2.7,1.3
44,NA,NA,NA,NA
45,16.9,5.8,3,0.7
46,NA,NA,NA,NA
47,29.2,13.2,2.8,4.9
48,5,1,1,0.2
49,15.7,5.2,1.8,0.5
50,NA,NA,NA,NA
51,25.3,9.7,3,1.7
52,NA,NA,NA,NA
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,9.4,3.3,2.8,0.3
57,NA,NA,NA,NA
58,6.2,1.3,0.6,0.1
1,31.9,15.8,11.8,1.4
2,30.9,12,9.7,0.8
3,27.4,14.9,2.5,2.5
4,20.6,6.3,2.4,3
5,24.3,10.8,2.2,3.9
6,26.7,9.1,4.7,1.6
7,34.3,14.8,6.1,2.3
8,11.4,2.8,2.8,0.3
9,32.3,11.4,4.9,4.2
10,9.9,3.5,1.2,0.8
11,21.6,6.3,7,0.9
12,15.5,4.3,3.9,0.2
13,21.5,7.4,1.6,3.5
14,17.8,6.7,5.4,0.7
15,28.7,15.7,8.4,1.5
16,16.8,6.3,2.3,1.1
17,32.4,14.5,7.4,3.1
18,26.9,12.4,3.1,2.1
19,22.4,8.4,3.8,1.5
20,27.9,11.3,3,5.1
21,4.7,0.7,1.5,0
22,16.4,4.5,3.4,1
23,13.2,3,2,0.7
24,27.4,9.7,2.9,3.6
25,22,8.1,3.5,1.3
26,30.2,17.4,3.2,1.9
27,15.3,5.3,1.9,1.3
28,21.9,8.4,2.1,3.4
29,14.2,5,2.9,0.2
30,23.9,7.2,7.2,1.2
31,12.8,3.3,3,0.6
32,3.3,1.8,0.7,0
33,12,3.1,0.9,1.4
34,9.2,2.7,1.1,0.8
35,5.2,1.4,0.6,0.1
36,9.7,2.3,0.6,1.3
37,12.5,3.3,1.1,1
38,25.6,6.5,2.3,4.4
39,NA,NA,NA,NA
40,10.6,3.5,1.4,0.5
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,29.5,10.4,4.8,2.1
44,NA,NA,NA,NA
45,14.9,4.5,2.5,1
46,6.9,1.5,1.5,0.1
47,11.6,2.9,2.8,0.2
48,NA,NA,NA,NA
49,NA,NA,NA,NA
50,8.8,2.7,0.7,0.9
51,NA,NA,NA,NA
52,NA,NA,NA,NA
53,14,3.2,2,0.6
54,NA,NA,NA,NA
55,4.8,2.2,0.2,0.7
56,NA,NA,NA,NA
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,NA,NA,NA,NA
1,28.1,9.6,8.7,2.2
2,28.1,10.2,5.2,1.3
3,34.2,16.3,3.1,8.1
4,34.6,18.2,4.5,9.5
5,29.7,11.2,3,5.2
6,24,8.7,3.1,1
7,20.7,10.4,4.6,0.8
8,22.2,8.7,4.5,1
9,12.4,6,3.1,0.3
10,25.6,11.5,7.7,1.2
11,NA,NA,NA,NA
12,4.9,1.1,0.5,0.4
13,15.7,6.9,4,1
14,20.2,10,2,1.3
15,19.2,5.4,2.3,1
16,16.2,5.9,2.8,0.5
17,31.5,16.8,4.9,1.9
18,19.8,9.7,2.5,0.9
19,20.2,9.4,4,0.8
20,4.3,1.2,0.7,0.8
21,22.5,11,2.3,3
22,27.8,10.8,2.9,4.6
23,21.6,7.9,2.6,1.4
24,22.4,8.2,2.4,2.1
25,15.4,4.7,3.9,0.5
26,18.4,5.6,4.2,0.4
27,20,8.7,3.6,0.8
28,16.8,5.2,4.4,0.6
29,9.9,3.3,1.9,0.2
30,29.3,13.5,8.8,2.2
31,17,8,1.4,1
32,13.3,3.4,1.2,1.4
33,21.6,8.7,4.5,0.8
34,20.4,9.6,2.4,1.1
35,NA,NA,NA,NA
36,23,10.1,5.6,1.1
37,17,4.7,3.7,1.3
38,14.9,4.8,1.4,2.4
39,12.4,5.3,1.2,0.7
40,34.8,17.8,3.5,4.6
41,11.6,4,0.9,1.9
42,8.5,2.8,2.1,0.1
43,1.2,0,0.2,0
44,1.5,0,0.7,0
45,24.3,14,2.2,3.4
46,NA,NA,NA,NA
47,12.5,5,1.5,0.8
48,16.2,4.6,2.3,0.8
49,22.1,10.1,5.4,1.4
50,27.6,10.1,4.6,1.5
51,9.2,2.1,1.9,0.7
52,NA,NA,NA,NA
53,11.9,2.5,1.5,1.2
54,5.8,2.8,1.2,0.2
55,13.2,3.8,3.6,0.4
56,21.1,7,5.4,1.2
57,25.7,9.9,7.9,1.1
58,3.6,1.9,0.7,0.1
59,NA,NA,NA,NA
60,7.8,2.7,1,0.5
1,28.7,14.3,4.6,1.2
2,33.8,19.2,8.1,1.9
3,20.4,7.5,2.1,1.4
4,19.7,7.7,4.8,0.9
5,15.5,4.5,4.3,0.5
6,35.5,18.8,4.3,4.7
7,25.6,10.3,2.2,2.8
8,32,16.5,5.8,2.1
9,5.8,2.1,1.4,0.3
10,5.5,2.2,1.6,0
11,25.5,12.8,2,2
12,11.6,3,2.6,0.3
13,21.9,5.7,3.7,1.4
14,23,7.8,2.8,1.6
15,9.4,2.2,1.9,0.2
16,15.4,5.9,2,0.4
17,17.1,5.6,3,0.7
18,9.4,3.9,2.4,0.2
19,10.7,4.1,1.1,0.7
20,13.9,4,3.5,0.6
21,30,9.8,4.6,7.9
22,15.2,5.6,1.8,2.8
23,17.5,5.2,4.9,0.5
24,31.9,14.8,4.4,6.3
25,18,7.6,1.9,1.1
26,19.5,7.7,1.9,2.9
27,15,4.9,1.5,3.4
28,6.2,2.1,0.6,0.2
29,14.7,3.9,1.8,1.7
30,12.1,3.2,3.4,0.4
31,8.7,2.7,1,0.5
32,12.1,4.7,1.3,0.3
33,11,3,2.3,0.4
34,8.6,2.6,1.9,0.4
35,29.1,7.2,5.7,1.5
36,16.9,7.6,3.9,0.8
37,9.5,3.2,1.6,0.5
38,5.4,1.4,1.9,0.1
39,11.6,2.7,1.8,1
40,NA,NA,NA,NA
41,5.8,1.6,1.2,0.1
42,23.5,7.8,2,2
43,6.6,1.9,0.7,0.3
44,NA,NA,NA,NA
45,12.8,4.3,2.7,0.3
46,10.5,2.1,1,1.8
47,28.2,13.5,7.1,2.2
48,NA,NA,NA,NA
49,13.9,6.2,3.8,0.3
50,11.8,3.7,2.2,0.3
51,5.2,1,1.4,0
52,3,0.8,0.3,0.2
53,NA,NA,NA,NA
54,7.5,2.5,1.2,0.2
55,NA,NA,NA,NA
56,NA,NA,NA,NA
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,5.7,1.7,1,0.2
60,11.9,1.8,1.1,1.2
1,19.3,8,6.2,0.5
2,36.7,27.1,7.1,4.2
3,32.2,13.7,8.2,3.3
4,32,14.9,3,5.6
5,29.1,12.7,4.3,1.5
6,22.2,7.9,4.9,0.7
7,22.9,8.7,2.8,1.5
8,16.2,7,3.6,0.5
9,27.7,8.8,9,2.8
10,22.7,8.7,5.7,1.9
11,12.7,3.9,1,1.6
12,29.5,12.9,5.9,1.8
13,13.2,3.9,2.3,0.8
14,28,11.9,4.2,1.2
15,27.5,12.6,2.9,3.6
16,22.8,11.4,2,1
17,14.4,4.2,3.4,0.3
18,22.7,9.7,2.1,1.7
19,16.4,5.3,2.4,1.8
20,16.3,6.1,3.4,0.7
21,18.3,6.4,2.1,0.7
22,22.3,7.3,3.2,1.5
23,30,12.5,5.3,1.8
24,24,9.1,2.4,2.2
25,9.5,3.1,1.2,0.3
26,20.8,9.7,1.7,3
27,27.3,10.8,2.9,1.8
28,19.2,7.9,5,1.2
29,8.4,4.1,1,0.3
30,NA,NA,NA,NA
31,22.5,10.8,4.9,0.7
32,7.4,2,0.8,0.8
33,3,1.1,0.9,0.2
34,10.3,4.1,3.4,0.4
35,21.1,8,4.4,0.9
36,8.3,3.1,1.8,0.3
37,19.1,5.4,3.9,2.1
38,8.2,2.3,2,0.3
39,NA,NA,NA,NA
40,2.8,0.6,0,0.2
41,11.1,1.9,2.8,0.4
42,18.5,5,5.5,0.5
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,NA,NA,NA,NA
46,18.9,5.2,3.3,0.2
47,15.6,2.7,3.4,1.2
48,32.2,14,7.4,3.4
49,12.1,3.4,3.7,0.7
50,NA,NA,NA,NA
51,0,0,0,0
52,4.4,1.6,0.6,0.6
53,3.2,1.2,0.4,0.1
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,23.3,10.3,2.7,4.1
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,8.2,2.2,0.8,0.9
60,NA,NA,NA,NA
1,31.7,18.2,3.3,5.4
2,22.8,12.4,4.7,1.3
3,30.9,13.8,3.1,2.9
4,34.7,22.9,7.4,8.5
5,31.1,17.8,10.8,2.4
6,29.9,15.6,4.8,1.9
7,32.5,16.5,2.4,2.9
8,11.1,4.2,1.8,0.7
9,23.5,9.6,1.9,3.9
10,30.3,16.5,6.3,1.4
11,21.3,8.4,2.1,2.9
12,25.2,8.9,6.6,1.1
13,22,6.8,2.9,1
14,15.2,7.1,4.3,0.7
15,22,8.8,4.9,0.8
16,15.1,7.9,4.1,0.7
17,24.8,10,6.3,1.3
18,17.1,8,5.3,0.4
19,22.3,9.5,6.8,0.8
20,13.3,5.3,3.9,0.5
21,25.8,12.3,5.3,0.9
22,27.1,9.6,2.6,1.7
23,16.4,5.7,5,0.5
24,27.8,12.2,7.2,0.8
25,30.8,11.2,5.2,3.5
26,27.4,10.8,3.1,3.1
27,17.8,6.5,3.5,0.8
28,16.8,6.1,2.4,0.7
29,15.3,5.9,3.2,0.6
30,6.5,1.9,1.4,0.3
31,24.9,12.6,6.7,0.7
32,2.5,1,0.4,0
33,11.4,2.6,3.9,0.4
34,26.7,8.9,2.5,3.7
35,27,9.2,10.4,1
36,19.6,5.3,7.1,0.6
37,23.3,6.4,4.1,0.9
38,18.9,5,2.2,1.6
39,18.2,6.5,2.2,1.4
40,19.7,7.1,2.1,1.1
41,9.6,2.8,2.4,0.5
42,8.2,2.4,0.9,0.8
43,2.7,0.4,0.3,0.3
44,NA,NA,NA,NA
45,27.9,13.9,3.1,4.8
46,NA,NA,NA,NA
47,16.7,6,2.2,0.8
48,7.6,2.4,1.2,0.5
49,NA,NA,NA,NA
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,7.5,2.2,1.5,0.2
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,15.1,5.7,1.7,2.1
56,3.8,0.9,1,0.1
57,NA,NA,NA,NA
58,11.5,4.5,2,0.5
59,NA,NA,NA,NA
60,13.4,3.8,2.8,0.4
1,33.1,20,8.3,4.2
2,10.5,2.2,2.7,0.1
3,34.6,25,5.6,6.7
4,30.7,15.7,4.6,4.8
5,30.3,11.1,4.2,7.6
6,22.9,9.2,1.9,3.9
7,34.4,24.3,4.6,6.5
8,18.8,7.9,5.8,0.8
9,34.2,20.6,4.4,3.9
10,30.3,14.1,3,5.7
11,19.1,7.1,3.6,2.4
12,25.9,11.2,3.2,1.9
13,16.9,6.7,4.2,0.4
14,13.9,4.4,3,0.5
15,14.1,5.2,2.6,0.7
16,20.5,7.8,3.6,2.1
17,33.2,16.1,4,6.4
18,29.2,12.7,2.7,6
19,26.8,12.2,2.4,5.6
20,14.6,4.3,1.3,2.8
21,29.3,12.5,2.7,5
22,13.4,3.2,2.2,0.7
23,20.3,7.9,4,1.1
24,18.2,7.4,4.2,0.8
25,15.9,7.1,1.9,2.1
26,24.6,9.1,6.1,1
27,23.7,8.9,4.2,1.3
28,20.9,8,2.1,1.1
29,19.1,7.6,2.2,2.3
30,20.6,6.3,2.7,0.8
31,9.8,2.9,2.7,0.4
32,12.1,5.4,1.7,0.7
33,20.8,5.8,3.7,0.7
34,NA,NA,NA,NA
35,9.9,3.3,1,0.3
36,15.9,5.8,2.3,0.7
37,16.6,6.8,5.1,0.8
38,10.5,2.1,3.1,0.3
39,17.8,6.2,4,0.8
40,14.9,5.2,2.4,0.7
41,22.5,9.3,2.1,1.1
42,27.5,8.8,4.3,3.5
43,23.4,11.9,2.8,1.4
44,19.7,7.9,3,1.2
45,15.6,4.6,1.9,2.7
46,25.5,8.8,3.5,1.6
47,NA,NA,NA,NA
48,4,1.3,0.3,0.1
49,NA,NA,NA,NA
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,15.1,5.8,1.4,2.2
53,11.9,3.8,1.8,1.7
54,NA,NA,NA,NA
55,20.7,9.2,1.7,2.3
56,NA,NA,NA,NA
57,NA,NA,NA,NA
58,10.4,4.7,1.4,1.2
59,NA,NA,NA,NA
60,NA,NA,NA,NA
1,35.6,19.1,4.3,9.1
2,26.9,9.7,4.6,3.5
3,24.3,10.6,7.1,1.1
4,22.1,7,3.2,1.1
5,30.4,19.9,10.4,3.1
6,14.8,3.5,2.9,0.7
7,27.5,13.1,8.2,2.1
8,24.9,7.5,6,1.2
9,31.1,15.6,4.5,3.5
10,33.6,20.4,6.4,3.6
11,10,3.1,3.3,0.5
12,15.7,5.7,1.9,0.6
13,19.3,6,6.5,0.8
14,20.8,6.7,3.9,1
15,19.5,6.4,5.7,0.7
16,14,4.8,2.2,0.6
17,15.2,5.9,3.5,0.6
18,27.8,13.7,3.9,4.7
19,27.7,11.1,2.8,1.7
20,17.5,5.8,2.3,1.2
21,7.1,1.8,1.1,0.5
22,13.5,4.9,1.5,0.9
23,20.4,6.9,5.5,1.1
24,16,3.8,3.4,0.7
25,9.3,3.1,1.4,1.8
26,15.6,4.5,1.8,0.7
27,24.4,12.2,2.5,3.1
28,23.7,9,2.5,4.8
29,10.6,2.8,2.5,0.5
30,8.2,2.9,1.3,0.5
31,6.8,2,1.3,0.2
32,6.9,2.3,1.8,0.2
33,25.1,12.8,11,0.6
34,8.5,3.3,1,1.2
35,20.5,7.7,4.6,1.8
36,NA,NA,NA,NA
37,7.8,0.8,0.6,1.2
38,4.8,1.6,0.2,0.6
39,23.6,6.8,4.3,1.6
40,23.1,8.6,4.1,2.9
41,10.7,2.9,1.9,0.4
42,NA,NA,NA,NA
43,11.3,3.6,1.9,0.4
44,7.6,2.8,2,0.3
45,NA,NA,NA,NA
46,2,0,0,0
47,NA,NA,NA,NA
48,NA,NA,NA,NA
49,NA,NA,NA,NA
50,7,1.5,2.3,0.2
51,NA,NA,NA,NA
52,12.4,3.6,2.8,0.5
53,7,2.3,1,0.7
54,7.1,1.9,0.6,1.4
55,10.5,3.5,2.6,0.4
56,4.8,0.6,0.8,0.1
57,3.4,1.6,0.4,0
58,5.2,2,1,0.2
59,NA,NA,NA,NA
60,NA,NA,NA,NA
1,33.9,22.9,3.8,5.7
2,20.7,8.9,4,0.7
3,21.5,11.2,7.8,0.9
4,27.1,9.1,8.5,1
5,26.1,13.3,9.4,1.1
6,15.2,3.6,3.5,0.6
7,20.2,5.2,6.2,0.6
8,29.4,14,3.1,4
9,33.3,19.5,3.8,5.3
10,13.3,6,1,1.4
11,32.9,19.4,3.5,2.3
12,22.6,10.5,3.4,2
13,24.9,11,5.2,1.6
14,27.1,12.4,4.6,1.5
15,31.3,19.2,6.4,2.9
16,30.9,17,10.5,2.8
17,24.9,7.2,3.3,1.8
18,17.6,4.1,3.2,0.6
19,31.3,16.4,6.2,2.3
20,18.2,7.3,3.8,1.1
21,9.9,3.3,1,1.2
22,24.5,11.4,8.1,1
23,24.2,12.3,5.9,1.3
24,25.4,12.9,3,4.3
25,17.3,8,2.1,1.4
26,13.9,5.9,2.8,0.8
27,8.3,3.2,1.6,0.2
28,22.3,7,2,2.7
29,22.1,7.1,2.6,3
30,33.1,17.6,5.3,4.1
31,29,14.9,3.6,1.6
32,6.8,2,0.8,0.2
33,21.9,6.5,2.9,0.8
34,18.4,6.6,2,3.1
35,5,1.2,1,0.4
36,14.8,4.6,3.6,0.3
37,5,2.4,1,0.1
38,30.1,12.7,4.5,2.7
