Rk,MPG,PPG,RPG,APG
39,9.9,3.6,2.6,0.2
40,15.8,6.4,3.8,0.8
41,11.1,3.3,1,1.4
42,19.4,8.3,2.7,1
43,14.8,3.9,1.8,1.4
44,12.1,3.7,0.9,1.9
45,11.8,3.5,3,0.3
46,9.7,4,0.7,0.5
47,4.5,1.4,0.9,0.5
48,3,0,1,0
49,7.8,2.2,0.5,0.9
50,17.8,4.8,4.8,1
51,NA,NA,NA,NA
52,5.9,2,1.5,0.2
53,10.8,2,1.4,0.7
54,NA,NA,NA,NA
55,21,7.9,2,1.8
56,NA,NA,NA,NA
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,28.8,18,2.4,4.9
1,34.4,23.8,10.2,2.3
2,24.6,8.4,5.4,1.2
3,34.8,22.1,4.1,4.2
4,28.2,13.1,2.6,2.8
5,13.4,4.9,4.8,0.6
6,36.3,24.6,4.2,6.6
7,31.8,14.1,5.1,1.8
8,24.9,11.3,2.8,1.3
9,29.8,13.9,13.4,1.4
10,24.2,8.9,2.1,2.2
11,16,5.6,3.9,0.9
12,20.8,10.2,3.6,1.6
13,19.3,5,1.6,4.9
14,19.7,7.6,5.3,1.1
15,22.7,6.9,3.6,0.9
16,3,0,0,0
17,17.5,6.9,4.4,0.9
18,23.8,10.4,5.7,1
19,14.3,6,3,0.4
20,28.6,14.3,2.8,2.6
21,24.3,10.8,7.5,1.8
22,6,1.2,0.5,0
23,12.8,5,1.5,0.8
24,7.2,2.3,0.7,0.5
25,21.2,11.1,2.5,3
26,16.4,4.9,4.5,0.5
27,12.4,3.6,3.1,0.2
28,11.7,3.4,1.8,0.4
29,10,2.4,1,1.5
30,14.1,4.2,4.3,0.4
31,19.4,6.1,2,0.8
32,22.4,7,2.9,4
33,8.3,2.2,2.3,0.1
34,25.2,9.6,4.2,1.6
35,28.5,8.7,6.9,5.4
36,10.8,3.2,1.7,0.7
37,16,4.9,3.5,0.6
38,13.5,4.3,2.4,0.5
39,31.7,17,4.9,3.7
40,25.7,11.6,4.3,2.7
41,8,2.9,0.5,0.9
42,12.7,3.5,1,0.8
43,16.5,6.7,3.1,0.9
44,9.9,2.9,0.9,0.6
45,17.4,6.1,3.6,0.8
46,19.8,5.9,1.6,1.4
47,3.1,0.9,0.2,0.1
48,15.8,3.6,2.3,1.5
49,14.2,5.4,4.6,1.4
50,NA,NA,NA,NA
51,5.4,0.9,0.7,0.1
52,4.4,0.9,1,0.2
53,13.2,2.3,4.3,0.7
54,5.5,1.3,0.9,0.4
55,3,0,0.9,0.3
56,NA,NA,NA,NA
57,NA,NA,NA,NA
58,14.3,3.9,2.7,0.5
59,NA,NA,NA,NA
60,14.5,4.2,3.1,0.7
1,12.6,4.4,3.1,0.5
2,33,17.5,4.6,4
3,26,10.7,5,1.5
4,22.2,8.5,6,1.4
5,19,7.7,5.9,0.9
6,22.4,7.3,6.2,1.1
7,22.5,8.9,2.3,1
8,29.1,11.4,3.1,1.7
9,21.1,9.8,1.8,3.1
10,31.5,19.1,3.4,3.4
11,25.3,10.3,4.4,4.4
12,26.8,9.4,7.9,1.4
13,22.1,10.1,5.1,2
14,17.2,9,2.8,0.5
15,32.5,21.6,9.3,4.6
16,12.4,3.2,2.8,0.5
17,26.5,14.3,2.9,4.7
18,19.1,5.5,1.9,2.9
19,11.7,3,1.5,0.9
20,21.9,6.1,2.3,1.1
21,20.7,7.5,5.8,1.3
22,22.3,8.4,6.6,2.4
23,21.5,5.5,3.1,1.5
24,27,13.9,2.8,1.9
25,22,7.7,2.5,1.2
26,22.2,4.5,4,0.9
27,29.9,12.3,11.5,1.3
28,NA,NA,NA,NA
29,14.5,6.3,2,1.2
30,5.9,1.1,0.6,0.5
31,24,9.1,2.8,1.1
32,16,5.3,1.4,0.5
33,5.4,2.7,0.9,0.6
34,20.4,8.1,1.9,1.9
35,9.5,2.7,1.5,0.6
36,18.2,6,2,2.4
37,3.8,1,1.2,0.1
38,18.8,5.5,2.2,2.5
39,10.1,3.2,2.5,0.3
40,6.4,2,1.1,0.4
41,7.3,1.8,1,0.4
42,10.5,4.4,1.1,2.4
43,9.9,3.9,1.4,0.8
44,15.5,6.2,3.2,0.9
45,NA,NA,NA,NA
46,8.7,3.1,0.7,0.8
47,16.1,5.9,1.6,2.1
48,19.2,6,3.1,1.3
49,2.6,0.3,0.3,0.1
50,20.3,6.7,3.3,0.9
51,NA,NA,NA,NA
52,11.5,2.8,1.5,1.8
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,13.6,5.6,3.8,0.9
56,9.3,2.3,0.6,1.4
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,NA,NA,NA,NA
1,35.1,19.4,4.4,2.3
2,27.5,14.1,5.5,2
3,30.9,25.5,11.3,3.3
4,28.8,12.9,6.3,2.5
5,18.6,5.7,1.8,2.1
6,29.7,10.3,3.6,4.3
7,31.1,17.6,9.3,3.5
8,19.8,6.8,2.1,1.5
9,16.8,4.9,5.1,0.8
10,27.2,10.3,4.1,5.8
11,20.9,9.2,2.4,0.9
12,25.2,11.7,5.9,2
13,31.7,19.6,3.9,3.9
14,28.8,15.5,4.1,1.2
15,13.1,4,2.9,0.6
16,23.9,12.2,8.5,2.2
17,8.5,2.3,1,0.3
18,12.6,4.2,1.3,1.9
19,28.9,11.9,2.5,2.1
20,12.3,4.2,2.6,0.7
21,10.7,4.4,3.5,0.3
22,8.2,3.2,0.9,0.6
23,24.9,10.6,2.6,1.7
24,17.4,7.1,1.9,2.5
25,26.8,12.5,10.6,1
26,18,6,2.4,0.5
27,28.5,13.9,3.4,3.4
28,5.7,2,0.5,0.5
29,14.1,2.5,2.4,0.3
30,21,6.6,4.3,2.3
31,7.8,1.8,1.6,0.5
32,14.1,5.3,2.2,0.6
33,25.6,11.1,3.2,1.6
34,14.3,4.3,2.2,0.8
35,5.4,2.4,1.4,0.3
36,11.5,3.5,2.4,0.5
37,NA,NA,NA,NA
38,26.3,12.8,3,5.1
39,25.9,11.2,4,1.3
40,17.4,5.9,2.6,0.8
41,30.2,19.2,10.2,6.2
42,9.4,2.6,1.4,0.4
43,7.8,2.5,2.5,0.3
44,15.9,5.2,2.1,1.2
45,18.7,7.5,4.5,1
46,26.9,15.3,3.3,2.5
47,4.9,2,0.6,0.7
48,10.9,2.3,1.4,1.1
49,4.6,1.2,1,0.2
50,NA,NA,NA,NA
51,9,2.8,2,0.7
52,NA,NA,NA,NA
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,15.2,2.9,1.4,2
56,10.4,2.2,1.6,0.7
57,NA,NA,NA,NA
58,13.8,6.9,1.8,1.4
59,NA,NA,NA,NA
60,10,3.5,2.8,0.3
1,34.3,23.1,11.4,3.1
2,29.3,17.8,3.6,5.5
3,19.5,10.4,4.7,0.9
4,31,18.7,7.8,1.5
5,18.5,6.9,3.1,1.3
6,22.1,8.8,5.9,1.4
7,23.8,10.9,2.9,3.8
8,19.9,6.2,3.1,1.4
9,21,9.4,4.1,1.6
10,25.9,8.3,5.1,2.5
11,28.7,12.7,6.7,1.2
12,18,7.6,4.3,1
13,33.6,23.3,3.9,4.6
14,17.4,7.4,2.1,2.9
15,25.4,12.1,4.4,1
16,25.7,12.3,3.9,3.1
17,12,3,1.1,0.5
18,15.4,5.4,3,0.8
19,17.9,6.1,1.9,2.9
20,20.9,7.3,3.2,3.1
21,13.1,5.2,2.5,0.7
22,21.5,11,6.5,1.2
23,22.2,9,5.5,1.9
24,18.2,6,1.7,3.7
25,15.9,5.4,3.5,0.6
26,NA,NA,NA,NA
27,24.1,8.1,6.6,1.9
28,8.8,3,1,0.4
29,9,3.3,1.9,0.3
30,16.1,4.7,4.7,1.3
31,24.7,10,3.3,2.1
32,21.7,13,5.4,1.4
33,7.5,2.4,2,0.3
34,18.6,3.9,2.5,0.7
35,15.2,7.3,5.8,1.1
36,7.5,2.1,1.9,0.1
37,21.1,9.6,5.8,1.1
38,9.4,3.2,0.9,0.8
39,NA,NA,NA,NA
40,30,12,3.2,2.7
41,18.4,5.8,3.3,1.2
42,NA,NA,NA,NA
43,8.5,3.4,1,0.9
44,20.6,7,2,2.8
45,NA,NA,NA,NA
46,22.4,11.3,2.6,1.5
47,NA,NA,NA,NA
48,5.2,1.8,1.1,0.3
49,NA,NA,NA,NA
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,NA,NA,NA,NA
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,4.8,0.8,0.7,0
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,NA,NA,NA,NA
1,33.9,15.9,8.1,7.7
2,32.8,18.3,5.1,3.8
3,28.5,16.1,4.9,1.9
4,20.1,5.4,3.9,1.3
5,24.1,8.2,3.3,4.1
6,28.9,15.9,4.2,2.4
7,30.1,16.3,3.6,3.8
8,18.7,7.7,4.8,1
9,19.8,7,5.9,1.4
10,13.8,4.6,2.8,0.6
11,28.3,14.2,9.1,3.5
12,24.4,10.5,4,1.8
13,12.2,4.1,3.2,0.7
14,18.8,7,3.3,1.8
15,15.5,5.3,3.4,0.6
16,6.6,2.3,1.4,0.4
17,10.3,3.1,1.2,1.4
18,9.5,4.1,2.5,0.6
19,20.7,10.3,2.4,1.2
20,27.5,14.7,3.8,4
21,19.4,6.1,3.3,1.8
22,8.9,2.8,1,0.3
23,13.4,6,3.9,0.6
24,16.1,6,2,0.9
25,5.1,2.2,1.6,0.1
26,19.2,8.2,2.3,1.4
27,28.9,15.2,6.2,3
28,17.5,7.2,4.5,1
29,25.3,11.8,5.9,4.6
30,14.3,5,3.3,0.8
31,12.1,4.2,3.2,0.4
32,18.7,8.1,6.3,1.1
33,11.9,5.2,4.1,0.4
34,20.9,7.5,1.7,4
35,NA,NA,NA,NA
36,30.1,15.4,4.2,4.8
37,12.3,3,2.3,0.7
38,16.9,3.8,1.6,1.4
39,NA,NA,NA,NA
40,3.4,1.4,0.9,0
41,5.7,1.2,1.8,0.2
42,20.5,7.2,2.4,2.4
43,6.6,1.3,1.2,0.1
44,NA,NA,NA,NA
45,5.2,1.8,0.7,0.7
46,7.4,2.2,1.6,0.2
47,13.1,4.9,1.7,0.5
48,17,4.7,2.6,0.8
49,3.6,0.4,0.3,0.2
50,14.1,5.9,2,0.8
51,3.3,0,0.7,0
52,5.1,1.7,1.5,0.1
53,2.9,1.1,1.1,0.2
54,9.1,3.8,1,1.3
55,5.6,2.4,0.8,0.6
56,9.3,2.8,2.1,1.2
57,NA,NA,NA,NA
58,12.8,4.6,1.9,0.5
59,NA,NA,NA,NA
60,15.5,5.2,2.2,1.2
1,25.6,10.9,3.3,4.6
2,32.5,11.9,5.7,6.2
3,33.3,20.4,6.6,2.9
4,23.6,11.5,4.1,1.9
5,31.8,18.7,3.5,6.2
6,25.8,9.3,5.4,1.1
7,29.6,15.3,6.8,1.3
8,18.2,5.3,1.9,2.4
9,23.9,10.7,2.9,4.2
10,17.4,5.7,4,0.9
11,19.5,9.8,2.2,1.9
12,23.3,9.8,2.9,2.1
13,33.7,23.7,4.2,4.4
14,28,13,8.2,3.5
15,18.7,6.5,2.5,1.1
16,13.5,3.9,2.7,0.9
17,12.4,4.4,3.1,0.7
18,8.5,3.3,1.9,0.3
19,29,16.6,8.4,1.6
20,12.9,5.9,3.8,1.2
21,19.6,4.5,1.3,0.7
22,26.5,11.5,8.7,1.4
23,26.7,10.4,4.1,1.4
24,3.7,0.9,0.7,0.2
25,15.8,5.6,3.9,0.7
26,8.7,2.3,2.9,0.7
27,30.3,15.4,6.2,2.1
28,12.2,4.8,4.5,0.5
29,25.8,11.6,3.3,3.9
30,27.1,9.5,5.8,2
31,18.1,8.5,1.8,1
32,11.5,3.2,2,0.8
33,16.9,4.4,2.5,0.9
34,15.7,6.7,2,2.6
35,14.6,5.7,4.3,1
36,13.5,4.3,3.4,0.8
37,14.6,3.4,2.2,0.4
38,12,3.7,3.1,1.2
39,15.1,4.2,1.7,2
40,19.4,7.3,2.6,1.1
41,16.1,6.7,2.3,1.3
42,20.5,10.4,5.8,1.3
43,12.5,5.2,3.6,1.2
44,19.9,7.5,2.5,1.5
45,28.3,14.4,3,2
46,17.1,5.6,3.4,1
47,2.6,0.9,0.9,0.1
48,10.8,2.5,1.3,0.7
49,6.9,2.3,1.2,0.4
50,NA,NA,NA,NA
51,24.9,10.4,2.3,3.6
52,14.1,5.7,1.5,1.1
53,13.6,5.5,1.5,2.3
54,11.3,4.1,1.9,0.6
55,5,1.4,0.6,0.6
56,8.8,3,1.5,0.6
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,16.3,4.2,3.6,0.5
60,NA,NA,NA,NA
1,30.7,16.1,10.6,1.6
2,24.8,13.4,7.4,0.9
3,33.7,26,8.5,7.9
4,27.2,15.8,5.1,1.2
5,33.4,24.9,3.9,8.9
6,17.8,7.3,5.8,0.9
7,27.3,11.8,8.7,1.9
8,32.9,20,3,3.3
9,19.5,7.9,3,0.8
10,31,10.9,3.9,2
11,31.6,17.5,4.4,4.1
12,28.7,12.8,5.6,2.1
13,14.2,4.5,1.8,1.2
14,24.6,14.1,6.1,1.1
15,19.2,6.6,4,1.7
16,11,3.7,1.2,0.9
17,23.2,8.8,4.7,2.4
18,20.1,8.9,2.3,1.6
19,29.5,11.3,3.5,3.2
20,21.5,6.6,3.1,1.2
21,21.5,9.4,2.5,1.5
22,17.4,5.4,3.7,0.8
23,18.3,7.4,1.7,2.3
24,20.5,9.9,2.2,2
25,14.4,7,3.1,1
26,23.3,8.9,1.8,1.6
27,19.2,7,6.4,1.4
28,10.5,2.8,1.1,0.9
29,10.7,4.3,1.9,0.9
30,17.8,6.8,4.3,1
31,15.5,4.8,1.7,2.2
32,13.7,4.3,1.7,1.3
33,24.1,11.5,3,3.8
34,28.5,13.2,2.6,5.2
35,5.9,1.9,0.5,0.1
36,23.6,8.4,7.4,0.5
37,27,13,2.1,1.3
38,10.5,4.1,1,0.9
39,13.2,3.1,2.3,0.8
40,16.1,6,3.1,0.9
41,18.2,5.3,6,1.1
42,22.7,7,4.1,2
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,19,8.4,3.9,1.1
46,20.4,7.9,3.5,2.8
47,17.8,6.9,1.9,1.4
48,14.9,5.1,2.9,0.6
49,13.4,5.7,3.4,0.8
50,7.5,2.5,3,0.4
51,NA,NA,NA,NA
52,8,1.5,1,0
53,7.4,1.8,0.6,1.2
54,21.4,10.3,2.4,2.6
55,3,0,0,0
56,10.4,3.6,3.3,0.3
57,5.2,1.7,1.2,0.5
58,3.3,1.6,0.4,0.5
59,5,0.2,1.2,0
60,4,1,1,0.1
1,31.7,25.7,7,3.2
2,32.1,20.6,4.4,7.2
3,33,16.6,5.5,2.8
4,30.8,13,4.3,1.7
5,32.8,16.4,2.5,5.8
6,18.2,7,2.9,1.3
7,28.5,14.1,3.7,3.5
8,16.6,7.8,4.1,0.7
9,29,13,5.4,1.5
10,25.2,10.7,3.2,1.3
11,24,10.1,3.6,1.3
12,29.1,11.8,5.9,2.2
13,30,16,4.6,3.1
14,14.7,3.6,1.9,0.5
15,17.1,5.6,2.8,0.7
16,24.5,8,4.4,1.9
17,20.1,9.8,2.7,2.3
18,10.8,4.3,2.7,0.6
19,9.9,3.8,2.2,0.6
20,21.5,4.6,1.9,1.1
21,22.1,11,5.7,1.5
22,18.5,5,2.9,1
23,25.4,9.6,5.9,1.2
24,17.1,7.1,1.9,2.4
25,16.7,5.8,3.4,0.7
26,12.6,3.8,2.5,0.9
27,6.7,2.7,1.4,0.4
28,23.5,12.3,2.3,2.6
29,28.3,13.5,5.7,1.7
30,27.6,12.7,3.6,4.5
31,18.2,7,4.9,0.9
32,11.4,2.8,1.8,0.5
33,9.2,3.6,1.1,0.6
34,9.1,2.9,2.7,0.6
35,12.6,1.6,1,0.8
36,20.7,5.6,3.5,2.1
37,7,1.9,1.5,0.3
38,16.4,7.1,4.3,0.7
39,7.7,3,1.5,0.6
40,7.5,3.2,0.9,0.6
41,20.4,10.3,3.4,1.4
42,11.2,3.2,1.7,0.5
43,15.4,7.7,1.9,1.7
44,6.2,2.7,1.2,0.3
45,20.6,8,4.9,1.4
46,21.9,9,2.8,2.6
47,11.1,3.7,1.7,0.8
48,20,7.2,3.6,1.8
49,6.4,2,0.7,0.6
50,6.3,2.4,1.3,0.7
51,10.2,3.7,0.9,2.1
52,18.5,6.8,3.6,1.1
53,11.3,4.8,1.3,1.8
54,7,2.8,1.8,0.3
55,8.6,3.3,1,1
56,NA,NA,NA,NA
57,10.4,2.8,1.2,1.1
58,8.4,1.8,1.4,0.5
59,4.7,2.3,2.3,0.5
60,NA,NA,NA,NA
1,33.2,20.4,4.7,3.2
2,21.4,11.5,5.8,0.7
3,30.8,17.9,6.5,6.9
4,27.7,9.1,4.4,1.3
5,31,9.4,3.1,1.9
6,15.3,6,4,0.6
7,24.9,6.4,2.8,4.5
8,12.9,5.6,2.9,0.7
9,23.4,7.1,5,1.4
10,10.4,4.6,3.4,0.2
11,20.9,8.2,3.4,1.3
12,32.4,13.8,3.4,6.5
13,16,6.2,1.4,2.2
14,12.8,4.2,2.3,0.4
15,30,15.3,5.2,5
16,23.3,8.1,7.4,1
17,20.5,6.9,4.5,1.7
18,13,3.5,2.1,1
19,30.1,13.9,5.1,2
20,16.9,6.1,4.9,0.8
21,24.6,12.1,2.5,3.2
22,12.9,5,2.6,0.3
23,7.5,1.1,1.4,0.4
24,18.3,7,3.2,2
25,20.3,10.5,2.2,2.4
26,16.3,6.4,2,1.8
27,7.8,2.9,2.5,0
28,25.1,7.8,4,1.2
29,15.2,5.6,1.9,2.1
30,25.9,13.1,3.7,2.1
31,4.5,1,0.5,0.5
32,5.5,2.3,1.3,0.1
33,5.7,1.9,1.6,0.3
34,23.1,8.2,2.7,2.7
35,16.3,5.8,3.8,1.2
36,3.9,1,1.1,0.2
37,5.2,1,0.8,0.3
38,15.6,5.3,2.1,3.1
39,6.3,2.3,1,0.4
40,3.5,1.1,1.1,0.2
41,10.7,3.8,1.3,1.8
42,6.9,2.6,1.5,0.3
43,7.1,3.1,0.7,0.4
44,3.9,1.9,1.1,0
45,15.5,7.3,3,0.7
46,11.1,3.4,2.1,0.8
47,NA,NA,NA,NA
48,12.1,4.1,1.5,2.3
49,10.8,3.8,1,0.6
50,8.5,3.6,1.1,0.8
51,NA,NA,NA,NA
52,21.7,8.9,4.6,1.2
53,4.7,2,0.3,0.6
54,7.5,2.7,1.2,0.2
55,9.3,3.8,1.4,0.4
56,3.9,2.6,0.1,0.4
57,9,3.1,2.8,0.6
58,8.1,2.9,2.5,0.4
59,13.2,7.4,1.4,1.3
60,8.1,3.2,1,0.7
1,31.8,15.7,5.5,5.2
2,30.4,14.6,3.1,2.3
3,34.1,14.9,8.1,2.6
4,35.4,14.4,7.4,3.3
5,28.2,12.6,3.7,4.4
6,31.4,12.4,7.8,6.4
7,14.5,8,2.8,0.7
8,32,15.6,4.6,3
9,26,10.4,2.4,3.5
10,21.5,7.3,1.8,0.9
11,10.6,5,1.7,0.8
12,15.9,4.9,1.7,1.4
13,28.7,13.4,4.1,2.2
14,9.5,3.2,1.4,0.3
15,19.8,6.8,2.5,0.9
16,18.7,8.7,4.8,2.5
17,12.7,3.9,2.1,0.5
18,20,8.7,2.2,1
19,2.8,0.9,0.5,0.2
20,4.6,1.8,1.1,0.1
21,9,3.5,1.4,0.9
22,9.7,5.8,2.8,0.4
23,7,1.3,2.3,0.5
24,16.5,7.4,2.1,1.7
25,17.8,6.5,2,1
26,18,8.8,2.7,2
27,19.6,9.8,2.6,1.3
28,3,1,1,0
29,12.4,6.1,5.1,0.5
30,10.3,3.3,2.4,0.5
31,4.1,1.6,1,0.3
32,23,7.1,5.8,1
33,NA,NA,NA,NA
34,NA,NA,NA,NA
35,29.9,9.6,3.9,2.1
36,7.2,1.8,0.8,1.1
37,9,2.6,1.4,0.7
38,25.9,8.1,2.8,3.1
39,5.6,2.1,1.9,0.4
40,7.6,3.4,0.8,1.2
41,6.1,2.5,0.5,0.3
42,5,0,0,0
43,7.9,3.3,2,0.3
44,24.6,6.4,4.3,0.6
45,NA,NA,NA,NA
46,11.8,3.6,2.2,1.6
47,1,0,0,0
48,3.2,0.6,0.5,0.5
49,NA,NA,NA,NA
50,NA,NA,NA,NA
51,15.1,6.7,2.3,0.9
52,11.7,5.2,3,0.6
53,7.3,3,2.7,0.3
54,9.3,3,1.8,0.5
55,22.4,7.1,3.4,1.1
56,3.5,0.5,0,0.5
57,NA,NA,NA,NA
58,6.5,1.1,1.5,0.1
59,NA,NA,NA,NA
60,5.3,1.8,0.9,0